Estacion;Dia_semana;Condicion;Temperatura;Sensacion;Humedad;Velocidad_viento;BiciRentadas;Parte_dia
Invierno;3;Despejado;1.4;-2.998;0.47;150.013;33;Mañana
Invierno;3;Despejado;0.46;-40.012;0.43;12.998;88;Mañana
Invierno;3;Despejado;1.4;-40.012;0.4;199.995;195;Mañana
Invierno;3;Despejado;2.34;-2.998;0.37;220.028;115;Mañana
Invierno;3;Despejado;2.34;-2.998;0.37;220.028;57;Mañana
Invierno;3;Despejado;4.22;-0.9982;0.33;220.028;46;Mañana
Invierno;3;Despejado;4.22;-0.9982;0.33;220.028;79;Mañana
Invierno;3;Despejado;5.16;10.016;0.3;199.995;71;Tarde
Invierno;3;Despejado;6.1;30.014;0.28;12.998;62;Tarde
Invierno;3;Despejado;6.1;30.014;0.28;12.998;62;Tarde
Invierno;3;Despejado;6.1;50.012;0.28;60.032;89;Tarde
Invierno;3;Despejado;3.28;-0.9982;0.38;12.998;190;Tarde
Invierno;3;Despejado;3.28;-0.0016;0.38;89.981;169;Tarde
Invierno;3;Despejado;3.28;10.016;0.38;70.015;132;Tarde
Invierno;3;Despejado;2.34;-0.9982;0.47;110.014;89;Noche
Invierno;3;Despejado;1.4;-2.998;0.51;12.998;43;Noche
Invierno;3;Despejado;0.46;-2.998;0.55;89.981;42;Noche
Invierno;3;Despejado;1.4;10.016;0.47;0;19;Noche
Invierno;4;Despejado;0.46;-0.0016;0.55;0;11;Noche
Invierno;4;Despejado;-0.48;-0.9982;0.64;0;4;Noche
Invierno;4;Despejado;-0.48;-0.9982;0.64;0;2;Noche
Invierno;4;Niebla;-0.48;-2.998;0.64;60.032;1;Noche
Invierno;4;Niebla;-1.42;-40.012;0.69;60.032;4;Mañana
Invierno;4;Niebla;-1.42;-49.978;0.63;70.015;36;Mañana
Invierno;4;Niebla;-0.48;-0.9982;0.59;0;95;Mañana
Invierno;4;Despejado;-0.48;-0.9982;0.59;0;219;Mañana
Invierno;4;Niebla;0.46;-0.0016;0.51;0;122;Mañana
Invierno;4;Despejado;1.4;10.016;0.47;0;45;Mañana
Invierno;4;Despejado;2.34;10.016;0.44;60.032;59;Mañana
Invierno;4;Despejado;4.22;30.014;0.35;0;84;Mañana
Invierno;4;Despejado;4.22;19.982;0.35;70.015;67;Tarde
Invierno;4;Despejado;5.16;19.982;0.36;110.014;70;Tarde
Invierno;4;Despejado;5.16;19.982;0.36;0;62;Tarde
Invierno;4;Despejado;4.22;10.016;0.38;110.014;86;Tarde
Invierno;4;Despejado;2.34;-0.9982;0.51;110.014;172;Tarde
Invierno;4;Despejado;2.34;-0.9982;0.51;89.981;163;Tarde
Invierno;4;Despejado;2.34;10.016;0.55;60.032;112;Tarde
Invierno;4;Despejado;1.4;-20.014;0.51;110.014;69;Noche
Invierno;4;Niebla;2.34;-20.014;0.55;150.013;48;Noche
Invierno;4;Niebla;2.34;-20.014;0.51;190.012;52;Noche
Invierno;4;Niebla;1.4;-2.998;0.59;12.998;23;Noche
Invierno;5;Niebla;1.4;-2.998;0.64;12.998;17;Noche
Invierno;5;Niebla;1.4;-2.998;0.69;150.013;7;Noche
Invierno;5;Niebla;1.4;-2.998;0.69;150.013;1;Noche
Invierno;5;Niebla;1.4;-20.014;0.69;89.981;1;Noche
Invierno;5;Lluvia Leve;2.34;19.982;0.55;0;5;Mañana
Invierno;5;Niebla;1.4;10.016;0.69;0;34;Mañana
Invierno;5;Despejado;1.4;-20.014;0.69;89.981;84;Mañana
Invierno;5;Despejado;1.4;-2.998;0.51;169.979;210;Mañana
Invierno;5;Despejado;1.4;-40.012;0.47;199.995;134;Mañana
Invierno;5;Despejado;2.34;-2.998;0.37;220.028;63;Mañana
Invierno;5;Niebla;1.4;-2.998;0.4;150.013;67;Mañana
Invierno;5;Niebla;1.4;-2.998;0.37;169.979;59;Mañana
Invierno;5;Niebla;1.4;-40.012;0.37;190.012;73;Tarde
Invierno;5;Niebla;1.4;-2.998;0.4;169.979;50;Tarde
Invierno;5;Niebla;1.4;-20.014;0.37;110.014;72;Tarde
Invierno;5;Niebla;1.4;-20.014;0.37;110.014;87;Tarde
Invierno;5;Niebla;1.4;10.016;0.37;0;187;Tarde
Invierno;5;Despejado;1.4;-0.9982;0.4;60.032;123;Tarde
Invierno;5;Despejado;-0.48;-2.998;0.55;60.032;95;Tarde
Invierno;5;Despejado;0.46;-20.014;0.47;70.015;51;Noche
Invierno;5;Despejado;0.46;-2.998;0.47;89.981;39;Noche
Invierno;5;Niebla;0.46;-2.998;0.43;110.014;36;Noche
Invierno;5;Niebla;0.46;-2.998;0.51;110.014;15;Noche
Invierno;6;Niebla;0.46;-2.998;0.51;110.014;25;Noche
Invierno;6;Niebla;0.46;-20.014;0.55;60.032;16;Noche
Invierno;6;Niebla;0.46;-0.0016;0.55;0;16;Noche
Invierno;6;Lluvia Leve;0.46;-2.998;0.55;110.014;7;Noche
Invierno;6;Lluvia Leve;0.46;-2.998;0.55;110.014;1;Noche
Invierno;6;Niebla;-0.48;-49.978;0.74;110.014;5;Mañana
Invierno;6;Niebla;-0.48;-49.978;0.74;110.014;2;Mañana
Invierno;6;Niebla;-0.48;-40.012;0.74;70.015;9;Mañana
Invierno;6;Lluvia Leve;-0.48;-40.012;0.93;70.015;15;Mañana
Invierno;6;Lluvia Leve;-0.48;-40.012;0.93;70.015;20;Mañana
Invierno;6;Niebla;0.46;-2.998;0.8;110.014;61;Mañana
Invierno;6;Niebla;1.4;-40.012;0.69;260.027;62;Mañana
Invierno;6;Niebla;1.4;-40.012;0.59;239.994;98;Mañana
Invierno;6;Despejado;1.4;-40.012;0.44;220.028;102;Tarde
Invierno;6;Despejado;1.4;-49.978;0.32;329.975;95;Tarde
Invierno;6;Despejado;1.4;-49.978;0.32;300.026;74;Tarde
Invierno;6;Despejado;0.46;-69.976;0.29;300.026;76;Tarde
Invierno;6;Despejado;-0.48;-80.008;0.37;369.974;69;Tarde
Invierno;6;Despejado;-1.42;-80.008;0.39;199.995;55;Tarde
Invierno;6;Despejado;-1.42;-80.008;0.36;169.979;30;Tarde
Invierno;6;Despejado;-2.36;-80.008;0.36;169.979;28;Noche
Invierno;6;Despejado;-2.36;-89.974;0.39;239.994;37;Noche
Invierno;6;Despejado;-2.36;-89.974;0.36;260.027;34;Noche
Invierno;6;Despejado;-3.3;-120.004;0.39;300.026;22;Noche
Invierno;0;Despejado;-3.3;-109.972;0.42;260.027;25;Noche
Invierno;0;Despejado;-3.3;-120.004;0.42;310.009;12;Noche
Invierno;0;Despejado;-3.3;-120.004;0.46;310.009;11;Noche
Invierno;0;Despejado;-3.3;-109.972;0.46;279.993;4;Noche
Invierno;0;Despejado;-4.24;-100.006;0.53;12.998;1;Noche
Invierno;0;Despejado;-4.24;-100.006;0.53;12.998;1;Mañana
Invierno;0;Despejado;-3.3;-100.006;0.49;190.012;1;Mañana
Invierno;0;Despejado;-4.24;-100.006;0.53;12.998;6;Mañana
Invierno;0;Despejado;-3.3;-100.006;0.49;190.012;10;Mañana
Invierno;0;Despejado;-2.36;-109.972;0.46;350.008;19;Mañana
Invierno;0;Despejado;-1.42;-89.974;0.43;260.027;49;Mañana
Invierno;0;Despejado;-0.48;-80.008;0.4;350.008;49;Mañana
Invierno;0;Despejado;0.46;-69.976;0.37;300.026;83;Mañana
Invierno;0;Despejado;1.4;-49.978;0.34;300.026;75;Tarde
Invierno;0;Despejado;2.34;-40.012;0.32;310.009;72;Tarde
Invierno;0;Despejado;2.34;-2.998;0.35;239.994;82;Tarde
Invierno;0;Despejado;1.4;-49.978;0.34;300.026;92;Tarde
Invierno;0;Despejado;0.46;-6.001;0.37;260.027;62;Tarde
Invierno;0;Despejado;-0.48;-69.976;0.4;220.028;48;Tarde
Invierno;0;Despejado;-0.48;-69.976;0.43;220.028;41;Tarde
Invierno;0;Despejado;-1.42;-80.008;0.46;169.979;38;Noche
Invierno;0;Despejado;-1.42;-89.974;0.46;279.993;20;Noche
Invierno;0;Despejado;-1.42;-80.008;0.46;199.995;15;Noche
Invierno;0;Despejado;-2.36;-69.976;0.5;12.998;6;Noche
Invierno;1;Despejado;-2.36;-80.008;0.5;190.012;5;Noche
Invierno;1;Despejado;-2.36;-80.008;0.5;190.012;1;Noche
Invierno;1;Despejado;-2.36;-80.008;0.5;150.013;3;Noche
Invierno;1;Despejado;-2.36;-80.008;0.5;150.013;1;Noche
Invierno;1;Despejado;-3.3;-80.008;0.54;89.981;3;Noche
Invierno;1;Despejado;-3.3;-89.974;0.54;169.979;3;Mañana
Invierno;1;Despejado;-2.36;-80.008;0.5;190.012;31;Mañana
Invierno;1;Despejado;-2.36;-80.008;0.5;150.013;77;Mañana
Invierno;1;Niebla;-2.36;-80.008;0.5;190.012;188;Mañana
Invierno;1;Niebla;-1.42;-80.008;0.5;169.979;94;Mañana
Invierno;1;Niebla;-1.42;-80.008;0.5;199.995;31;Mañana
Invierno;1;Niebla;-0.48;-69.976;0.47;190.012;30;Mañana
Invierno;1;Niebla;1.4;-40.012;0.4;190.012;52;Mañana
Invierno;1;Niebla;1.4;-40.012;0.4;190.012;54;Tarde
Invierno;1;Niebla;1.4;-2.998;0.4;150.013;47;Tarde
Invierno;1;Niebla;1.4;-2.998;0.4;150.013;45;Tarde
Invierno;1;Despejado;1.4;-20.014;0.4;89.981;74;Tarde
Invierno;1;Despejado;1.4;-0.9982;0.4;70.015;178;Tarde
Invierno;1;Despejado;1.4;-2.998;0.4;150.013;155;Tarde
Invierno;1;Despejado;-0.48;-49.978;0.47;110.014;95;Tarde
Invierno;1;Despejado;-0.48;-49.978;0.5;110.014;74;Noche
Invierno;1;Despejado;-1.42;-69.976;0.59;12.998;38;Noche
Invierno;1;Despejado;-1.42;-6.001;0.59;110.014;24;Noche
Invierno;1;Despejado;-1.42;-6.001;0.59;110.014;18;Noche
Invierno;2;Despejado;-1.42;-49.978;0.59;70.015;12;Noche
Invierno;2;Despejado;-1.42;-6.001;0.59;110.014;3;Noche
Invierno;2;Niebla;-0.48;-6.001;0.55;12.998;3;Noche
Invierno;2;Niebla;-0.48;-40.012;0.55;89.981;6;Mañana
Invierno;2;Niebla;-0.48;-40.012;0.55;89.981;27;Mañana
Invierno;2;;-0.48;-0.9982;0.55;0;99;Mañana
Invierno;2;Niebla;0.46;-20.014;0.51;60.032;217;Mañana
Invierno;2;Niebla;0.46;-2.998;0.51;110.014;130;Mañana
Invierno;2;Niebla;1.4;-20.014;0.51;110.014;54;Mañana
Invierno;2;Niebla;1.4;-20.014;0.47;89.981;35;Mañana
Invierno;2;Niebla;1.4;-0.9982;0.51;;57;Mañana
Invierno;2;Niebla;1.4;-0.9982;0.59;60.032;52;Tarde
Invierno;2;Niebla;1.4;-0.9982;0.59;60.032;63;Tarde
Invierno;2;Niebla;-0.48;-2.998;0.8;60.032;47;Tarde
Invierno;2;Niebla;-0.48;-6.001;0.86;150.013;76;Tarde
Invierno;2;Niebla;-0.48;-6.001;0.86;150.013;136;Tarde
Invierno;2;Lluvia Leve;-0.48;-40.012;0.93;70.015;95;Tarde
Invierno;2;Lluvia Leve;-0.48;-0.9982;0.93;0;51;Tarde
Invierno;2;Lluvia Leve;-0.48;-6.001;0.93;12.998;32;Noche
Invierno;2;Lluvia Leve;-0.48;-2.998;0.86;60.032;20;Noche
Invierno;2;Lluvia Leve;-0.48;-40.012;0.93;70.015;29;Noche
Invierno;2;Lluvia Leve;-0.48;-2.998;0.93;60.032;19;Noche
Invierno;3;Niebla;-0.48;-2.998;0.86;60.032;7;Noche
Invierno;3;Niebla;-0.48;-40.012;0.86;70.015;6;Noche
Invierno;3;Despejado;-1.42;-6.001;0.86;89.981;1;Noche
Invierno;3;Despejado;-1.42;-6.001;0.86;110.014;5;Mañana
Invierno;3;Despejado;-2.36;-6.001;0.93;89.981;16;Mañana
Invierno;3;Despejado;-1.42;-6.001;0.69;89.981;54;Mañana
Invierno;3;Despejado;-0.48;-49.978;0.59;110.014;128;Mañana
Invierno;3;Despejado;-0.48;-69.976;0.59;220.028;81;Mañana
Invierno;3;Despejado;0.46;-40.012;0.55;150.013;39;Mañana
Invierno;3;Despejado;1.4;-40.012;0.51;260.027;35;Mañana
Invierno;3;Despejado;1.4;-6.001;0.47;390.007;55;Mañana
Invierno;3;Despejado;2.34;-2.998;0.44;239.994;49;Tarde
Invierno;3;Despejado;1.4;-40.012;0.47;220.028;44;Tarde
Invierno;3;Despejado;1.4;-49.978;0.47;279.993;49;Tarde
Invierno;3;Despejado;2.34;-2.998;0.44;220.028;68;Tarde
Invierno;3;Despejado;1.4;-40.012;0.47;239.994;139;Tarde
Invierno;3;Despejado;1.4;-6.001;0.47;350.008;137;Tarde
Invierno;3;Despejado;0.46;-6.001;0.47;279.993;83;Tarde
Invierno;3;Despejado;-0.48;-69.976;0.5;220.028;56;Noche
Invierno;3;Despejado;-0.48;-69.976;0.55;220.028;57;Noche
Invierno;3;Despejado;-0.48;-80.008;0.55;300.026;33;Noche
Invierno;3;Despejado;-1.42;-89.974;0.59;279.993;20;Noche
Invierno;4;Despejado;-1.42;-80.008;0.59;190.012;7;Noche
Invierno;4;Despejado;-1.42;-80.008;0.5;190.012;2;Noche
Invierno;4;Despejado;-1.42;-80.008;0.5;239.994;2;Noche
Invierno;4;Despejado;-1.42;-80.008;0.5;220.028;3;Noche
Invierno;4;Despejado;-1.42;-80.008;0.5;169.979;4;Noche
Invierno;4;Despejado;-1.42;-80.008;0.5;199.995;3;Mañana
Invierno;4;Despejado;-2.36;-6.001;0.54;89.981;28;Mañana
Invierno;4;Despejado;-2.36;-6.001;0.54;89.981;72;Mañana
Invierno;4;Despejado;-1.42;-69.976;0.5;12.998;202;Mañana
Invierno;4;Despejado;-1.42;-80.008;0.5;220.028;139;Mañana
Invierno;4;Niebla;-0.48;-69.976;0.5;239.994;38;Mañana
Invierno;4;Niebla;1.4;-49.978;0.44;300.026;37;Mañana
Invierno;4;Despejado;1.4;-49.978;0.44;279.993;52;Mañana
Invierno;4;Despejado;2.34;-2.998;0.41;300.026;83;Tarde
Invierno;4;Despejado;2.34;-2.998;0.41;260.027;42;Tarde
Invierno;4;Despejado;3.28;-20.014;0.38;199.995;60;Tarde
Invierno;4;Despejado;3.28;-20.014;0.38;239.994;78;Tarde
Invierno;4;Despejado;1.4;-40.012;0.4;190.012;162;Tarde
Invierno;4;Despejado;1.4;-40.012;0.4;220.028;144;Tarde
Invierno;4;Despejado;-0.48;-6.001;0.47;169.979;99;Tarde
Invierno;4;Despejado;-0.48;-6.001;0.47;150.013;64;Noche
Invierno;4;Despejado;-1.42;-80.008;0.46;199.995;40;Noche
Invierno;4;Despejado;-1.42;-80.008;0.46;220.028;30;Noche
Invierno;4;Despejado;-2.36;-69.976;0.5;12.998;15;Noche
Invierno;5;Despejado;-2.36;-69.976;0.5;12.998;14;Noche
Invierno;5;Despejado;-3.3;-80.008;0.54;110.014;5;Noche
Invierno;5;Despejado;-3.3;-80.008;0.54;89.981;1;Noche
Invierno;5;Despejado;-3.3;-69.976;0.54;70.015;1;Noche
Invierno;5;Despejado;-3.3;-69.976;0.54;60.032;8;Mañana
Invierno;5;Despejado;-3.3;-40.012;0.54;0;17;Mañana
Invierno;5;Despejado;-3.3;-80.008;0.74;110.014;;Mañana
Invierno;5;Despejado;-2.36;-49.978;0.68;0;158;Mañana
Invierno;5;Despejado;-1.42;-6.001;0.69;89.981;117;Mañana
Invierno;5;Despejado;0.46;-40.012;0.55;12.998;44;Mañana
Invierno;5;Despejado;0.46;-49.978;0.51;190.012;53;Mañana
Invierno;5;Despejado;1.4;-2.998;0.44;169.979;61;Mañana
Invierno;5;Despejado;2.34;-2.998;0.37;260.027;77;Tarde
Invierno;5;Despejado;2.34;-20.014;0.41;190.012;64;Tarde
Invierno;5;Despejado;3.28;-0.0016;0.38;110.014;68;Tarde
Invierno;5;Despejado;2.34;-0.0016;0.41;70.015;90;Tarde
Invierno;5;Despejado;2.34;-0.9982;0.41;110.014;159;Tarde
Invierno;5;Despejado;1.4;10.016;0.47;0;139;Tarde
Invierno;5;Despejado;-0.48;-2.998;0.59;60.032;92;Tarde
Invierno;5;Despejado;0.46;-0.0016;0.59;0;68;Noche
Invierno;5;Despejado;-0.48;-0.9982;0.69;0;52;Noche
Invierno;5;Niebla;-0.48;-0.9982;0.69;0;36;Noche
Invierno;5;Niebla;0.46;-0.0016;0.55;0;27;Noche
Invierno;6;Despejado;0.46;-0.0016;0.55;0;28;Noche
Invierno;6;Niebla;-0.48;-2.998;0.59;60.032;20;Noche
Invierno;6;Niebla;-0.48;-2.998;0.59;60.032;12;Noche
Invierno;6;Niebla;-0.48;-0.9982;0.59;0;8;Noche
Invierno;6;Niebla;-0.48;-0.9982;0.59;0;5;Noche
Invierno;6;Despejado;-0.48;-0.9982;0.59;0;1;Mañana
Invierno;6;Despejado;-1.42;-49.978;0.63;70.015;3;Mañana
Invierno;6;;-1.42;-20.014;0.63;0;10;Mañana
Invierno;6;;-1.42;-6.001;0.63;89.981;23;Mañana
Invierno;6;;-0.48;-40.012;0.64;89.981;;Mañana
Invierno;6;Despejado;0.46;-2.998;0.59;110.014;59;Mañana
Invierno;6;Despejado;1.4;-2.998;0.55;150.013;72;Mañana
Invierno;6;Despejado;3.28;-0.9982;0.48;150.013;89;Mañana
Invierno;6;Despejado;5.16;10.016;0.38;199.995;101;Tarde
Invierno;6;Despejado;6.1;30.014;0.39;190.012;118;Tarde
Invierno;6;Niebla;7.04;50.012;0.36;12.998;129;Tarde
Invierno;6;Niebla;7.98;59.978;0.34;12.998;128;Tarde
Invierno;6;Niebla;7.04;3.998;0.36;190.012;83;Tarde
Invierno;6;Niebla;6.1;30.014;0.45;169.979;84;Tarde
Invierno;6;Niebla;7.04;3.998;0.39;169.979;74;Tarde
Invierno;6;Niebla;7.04;3.998;0.39;169.979;41;Noche
Invierno;6;Niebla;7.04;3.998;0.39;150.013;57;Noche
Invierno;6;Niebla;6.1;50.012;0.42;70.015;26;Noche
Invierno;6;Despejado;6.1;30.014;0.45;190.012;44;Noche
Invierno;0;Despejado;4.22;3.998;0.56;0;39;Noche
Invierno;0;Despejado;4.22;19.982;0.56;89.981;23;Noche
Invierno;0;Despejado;4.22;30.014;0.56;60.032;16;Noche
Invierno;0;Despejado;2.34;19.982;0.69;0;15;Noche
Invierno;0;Despejado;4.22;10.016;0.56;110.014;1;Noche
Invierno;0;Niebla;4.22;10.016;0.56;110.014;2;Mañana
Invierno;0;Niebla;4.22;10.016;0.56;110.014;1;Mañana
Invierno;0;Niebla;3.28;-20.014;0.56;199.995;3;Mañana
Invierno;0;Despejado;2.34;-20.014;0.55;190.012;18;Mañana
Invierno;0;Despejado;2.34;-20.014;0.51;169.979;32;Mañana
Invierno;0;Despejado;2.34;-20.014;0.51;190.012;79;Mañana
Invierno;0;Despejado;3.28;-0.9982;0.44;169.979;93;Mañana
Invierno;0;Despejado;3.28;-20.014;0.41;190.012;104;Mañana
Invierno;0;Despejado;4.22;-0.9982;0.35;199.995;118;Tarde
Invierno;0;Despejado;5.16;19.982;0.36;169.979;91;Tarde
Invierno;0;Despejado;4.22;-0.0016;0.38;169.979;113;Tarde
Invierno;0;Despejado;3.28;-0.9982;0.38;150.013;99;Tarde
Invierno;0;Despejado;2.34;-20.014;0.37;169.979;105;Tarde
Invierno;0;Despejado;1.4;-20.014;0.4;110.014;67;Tarde
Invierno;0;Despejado;0.46;-2.998;0.47;89.981;61;Tarde
Invierno;0;Despejado;0.46;-2.998;0.47;110.014;57;Noche
Invierno;0;Despejado;0.46;-2.998;0.51;110.014;28;Noche
Invierno;0;Niebla;1.4;-20.014;0.49;89.981;21;Noche
Invierno;0;Niebla;1.4;-0.9982;0.4;70.015;18;Noche
Invierno;1;Niebla;1.4;-2.998;0.47;150.013;17;Noche
Invierno;1;Niebla;1.4;-2.998;0.44;12.998;16;Noche
Invierno;1;Niebla;0.46;-49.978;0.43;169.979;8;Noche
Invierno;1;Niebla;0.46;-40.012;0.43;12.998;2;Noche
Invierno;1;Niebla;0.46;-2.998;0.43;89.981;3;Noche
Invierno;1;Niebla;0.46;-2.998;0.43;110.014;1;Mañana
Invierno;1;Niebla;0.46;-40.012;0.43;12.998;5;Mañana
Invierno;1;Niebla;-0.48;-40.012;0.5;89.981;13;Mañana
Invierno;1;Niebla;-0.48;-6.001;0.47;150.013;33;Mañana
Invierno;1;Niebla;-0.48;-6.001;0.47;150.013;47;Mañana
Invierno;1;Niebla;-0.48;-6.001;0.5;169.979;57;Mañana
Invierno;1;Niebla;-0.48;-6.001;0.55;12.998;64;Mañana
Invierno;1;Niebla;0.46;-2.998;0.47;89.981;80;Mañana
Invierno;1;Niebla;0.46;-2.998;0.47;89.981;93;Tarde
Invierno;1;Niebla;0.46;-20.014;0.43;70.015;86;Tarde
Invierno;1;Niebla;1.4;-20.014;0.47;110.014;93;Tarde
